url,category,title
https://rss.nytimes.com/services/xml/rss/nyt/World.xml,NEWS,NYT World
https://rss.nytimes.com/services/xml/rss/nyt/US.xml,NEWS,NYT US
https://rss.nytimes.com/services/xml/rss/nyt/Politics.xml,NEWS,NYT Politics
https://rss.nytimes.com/services/xml/rss/nyt/Business.xml,NEWS,NYT Business
https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,NEWS,NYT Technology
https://rss.nytimes.com/services/xml/rss/nyt/Science.xml,NEWS,NYT Science
https://rss.nytimes.com/services/xml/rss/nyt/Health.xml,NEWS,NYT Health
https://rss.nytimes.com/services/xml/rss/nyt/Sports.xml,NEWS,NYT Sports
https://rss.nytimes.com/services/xml/rss/nyt/Arts.xml,NEWS,NYT Arts
https://rss.nytimes.com/services/xml/rss/nyt/Books.xml,NEWS,NYT Books
https://feeds.bbci.co.uk/news/rss.xml,NEWS,BBC News
https://feeds.bbci.co.uk/news/world/rss.xml,NEWS,BBC World
https://feeds.bbci.co.uk/news/politics/rss.xml,NEWS,BBC Politics
https://feeds.bbci.co.uk/news/business/rss.xml,NEWS,BBC Business
https://feeds.bbci.co.uk/news/technology/rss.xml,NEWS,BBC Technology
https://feeds.bbci.co.uk/news/science_and_environment/rss.xml,NEWS,BBC Science
https://feeds.bbci.co.uk/news/health/rss.xml,NEWS,BBC Health
https://feeds.bbci.co.uk/news/entertainment_and_arts/rss.xml,NEWS,BBC Entertainment
https://www.theguardian.com/world/rss,NEWS,Guardian World
https://www.theguardian.com/uk-news/rss,NEWS,Guardian UK
https://www.theguardian.com/politics/rss,NEWS,Guardian Politics
https://www.theguardian.com/business/rss,NEWS,Guardian Business
https://www.theguardian.com/technology/rss,NEWS,Guardian Technology
https://www.theguardian.com/science/rss,NEWS,Guardian Science
https://www.theguardian.com/books/rss,NEWS,Guardian Books
https://www.theguardian.com/film/rss,NEWS,Guardian Film
https://www.theguardian.com/music/rss,NEWS,Guardian Music
https://www.theguardian.com/sport/rss,NEWS,Guardian Sport
https://www.repubblica.it/rss/homepage/rss2.0.xml,NEWS,La Repubblica
https://www.repubblica.it/rss/motori/rss2.0.xml,NEWS,La Repubblica Motori
https://www.repubblica.it/rss/cultura/rss2.0.xml,NEWS,La Repubblica Cultura
https://www.repubblica.it/rss/economia/rss2.0.xml,NEWS,La Repubblica Economia
https://www.repubblica.it/rss/esteri/rss2.0.xml,NEWS,La Repubblica Esteri
https://www.repubblica.it/rss/sport/rss2.0.xml,NEWS,La Repubblica Sport
https://www.repubblica.it/rss/tecnologia/rss2.0.xml,NEWS,La Repubblica Tecnologia
https://www.corriere.it/rss/homepage.xml,NEWS,Corriere della Sera
https://www.corriere.it/rss/esteri.xml,NEWS,Corriere Esteri
https://www.corriere.it/rss/economia.xml,NEWS,Corriere Economia
https://www.ilsole24ore.com/rss/primapagina.xml,NEWS,Il Sole 24 Ore
https://www.ilsole24ore.com/rss/economia.xml,NEWS,Il Sole 24 Ore Economia
https://www.ilsole24ore.com/rss/tecnologia.xml,NEWS,Il Sole 24 Ore Tecnologia
https://www.adnkronos.com/rss/ultimora,NEWS,Adnkronos Ultimora
https://www.adnkronos.com/rss/politica,NEWS,Adnkronos Politica
https://www.adnkronos.com/rss/cronaca,NEWS,Adnkronos Cronaca
https://www.adnkronos.com/rss/esteri,NEWS,Adnkronos Esteri
https://feeds.washingtonpost.com/rss/world,NEWS,Washington Post World
https://feeds.washingtonpost.com/rss/national,NEWS,Washington Post National
https://feeds.washingtonpost.com/rss/politics,NEWS,Washington Post Politics
https://feeds.washingtonpost.com/rss/business,NEWS,Washington Post Business
https://feeds.washingtonpost.com/rss/technology,NEWS,Washington Post Technology
https://feeds.washingtonpost.com/rss/opinions,NEWS,Washington Post Opinions
https://www.economist.com/feeds/print-sections/77/business.xml,NEWS,The Economist Business
https://www.economist.com/feeds/print-sections/78/technology.xml,NEWS,The Economist Technology
https://www.economist.com/feeds/print-sections/79/international.xml,NEWS,The Economist International
https://www.economist.com/feeds/print-sections/80/united-states.xml,NEWS,The Economist US
https://www.economist.com/feeds/print-sections/81/europe.xml,NEWS,The Economist Europe
https://www.economist.com/feeds/print-sections/82/asia.xml,NEWS,The Economist Asia
https://feeds.ap.org/ap/rss/topnews,NEWS,AP Top News
https://feeds.ap.org/ap/rss/world,NEWS,AP World
https://feeds.ap.org/ap/rss/politics,NEWS,AP Politics
